data_scale,N,DR,advisor_time_s,cost,N_star
5000,30,1.129332,0.002425,0.438258,250
5000,60,1.166924,0.004588,0.422071,250
5000,120,1.229125,0.009553,0.396958,250
5000,250,1.279151,0.021310,0.386123,250
5000,500,1.319093,0.045234,0.395003,250
5000,1000,1.334860,0.097445,0.450083,250
5000,2000,1.367785,0.201606,0.559234,250
5000,4000,1.383936,0.414611,0.808032,250
15000,30,1.087881,0.002410,0.458938,250
15000,60,1.133213,0.004425,0.438680,250
15000,120,1.155644,0.009618,0.433669,250
15000,250,1.205485,0.021453,0.422888,250
15000,500,1.240318,0.045164,0.433800,250
15000,1000,1.261428,0.096273,0.484306,250
15000,2000,1.286716,0.200242,0.595879,250
15000,4000,1.302149,0.418502,0.848926,250
45000,30,1.069548,0.002464,0.468173,250
45000,60,1.108946,0.004730,0.451184,250
45000,120,1.166569,0.009702,0.428319,250
45000,250,1.204843,0.021568,0.423373,250
45000,500,1.246229,0.046161,0.432093,250
45000,1000,1.274039,0.097492,0.479577,250
45000,2000,1.297184,0.202392,0.593461,250
45000,4000,1.317553,0.418073,0.841223,250
