z,trigger_fraction,workload
0.00,0.558442,burst
0.25,0.487013,burst
0.50,0.409091,burst
0.75,0.266234,burst
1.00,0.149351,burst
1.25,0.058442,burst
1.50,0.000000,burst
1.75,0.000000,burst
2.00,0.000000,burst
2.25,0.000000,burst
2.50,0.000000,burst
2.75,0.000000,burst
3.00,0.000000,burst
3.25,0.000000,burst
3.50,0.000000,burst
3.75,0.000000,burst
4.00,0.000000,burst
0.00,0.486486,burst_v2
0.25,0.486486,burst_v2
0.50,0.081081,burst_v2
0.75,0.081081,burst_v2
1.00,0.081081,burst_v2
1.25,0.081081,burst_v2
1.50,0.081081,burst_v2
1.75,0.081081,burst_v2
2.00,0.081081,burst_v2
2.25,0.081081,burst_v2
2.50,0.081081,burst_v2
2.75,0.072072,burst_v2
3.00,0.009009,burst_v2
3.25,0.000000,burst_v2
3.50,0.000000,burst_v2
3.75,0.000000,burst_v2
4.00,0.000000,burst_v2
0.00,0.500000,burst_v3
0.25,0.500000,burst_v3
0.50,0.483516,burst_v3
0.75,0.428571,burst_v3
1.00,0.230769,burst_v3
1.25,0.000000,burst_v3
1.50,0.000000,burst_v3
1.75,0.000000,burst_v3
2.00,0.000000,burst_v3
2.25,0.000000,burst_v3
2.50,0.000000,burst_v3
2.75,0.000000,burst_v3
3.00,0.000000,burst_v3
3.25,0.000000,burst_v3
3.50,0.000000,burst_v3
3.75,0.000000,burst_v3
4.00,0.000000,burst_v3
0.00,0.500000,job
0.25,0.392857,job
0.50,0.285714,job
0.75,0.196429,job
1.00,0.107143,job
1.25,0.089286,job
1.50,0.071429,job
1.75,0.071429,job
2.00,0.017857,job
2.25,0.017857,job
2.50,0.017857,job
2.75,0.017857,job
3.00,0.000000,job
3.25,0.000000,job
3.50,0.000000,job
3.75,0.000000,job
4.00,0.000000,job
0.00,0.476440,job_complexity
0.25,0.366492,job_complexity
0.50,0.287958,job_complexity
0.75,0.204188,job_complexity
1.00,0.141361,job_complexity
1.25,0.104712,job_complexity
1.50,0.068063,job_complexity
1.75,0.057592,job_complexity
2.00,0.047120,job_complexity
2.25,0.031414,job_complexity
2.50,0.026178,job_complexity
2.75,0.005236,job_complexity
3.00,0.000000,job_complexity
3.25,0.000000,job_complexity
3.50,0.000000,job_complexity
3.75,0.000000,job_complexity
4.00,0.000000,job_complexity
0.00,0.556886,oltp
0.25,0.449102,oltp
0.50,0.347305,oltp
0.75,0.227545,oltp
1.00,0.179641,oltp
1.25,0.101796,oltp
1.50,0.035928,oltp
1.75,0.000000,oltp
2.00,0.000000,oltp
2.25,0.000000,oltp
2.50,0.000000,oltp
2.75,0.000000,oltp
3.00,0.000000,oltp
3.25,0.000000,oltp
3.50,0.000000,oltp
3.75,0.000000,oltp
4.00,0.000000,oltp
0.00,0.520442,sdss
0.25,0.436464,sdss
0.50,0.354696,sdss
0.75,0.251381,sdss
1.00,0.167403,sdss
1.25,0.095856,sdss
1.50,0.049171,sdss
1.75,0.022099,sdss
2.00,0.009945,sdss
2.25,0.003867,sdss
2.50,0.001934,sdss
2.75,0.001657,sdss
3.00,0.001657,sdss
3.25,0.001381,sdss
3.50,0.000829,sdss
3.75,0.000276,sdss
4.00,0.000276,sdss
