block,k,S_R,S_V,S_T,S_A,S_P,HSM
1,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
1,1.0,0.5,1.0,1.0,1.0,1.0,0.875
1,2.0,0.5,0.5,1.0,1.0,1.0,0.775
1,5.0,0.5,0.2,1.0,1.0,1.0,0.715
1,10.0,0.5,0.1,1.0,1.0,1.0,0.695
2,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
2,1.0,0.5,1.0,1.0,1.0,1.0,0.875
2,2.0,0.5,0.5,1.0,1.0,1.0,0.775
2,5.0,0.5,0.2,1.0,1.0,1.0,0.715
2,10.0,0.5,0.1,1.0,1.0,1.0,0.695
3,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
3,1.0,0.5,1.0,1.0,1.0,1.0,0.875
3,2.0,0.5,0.5,1.0,1.0,1.0,0.775
3,5.0,0.5,0.2,1.0,1.0,1.0,0.715
3,10.0,0.5,0.1,1.0,1.0,1.0,0.695
4,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
4,1.0,0.5,1.0,1.0,1.0,1.0,0.875
4,2.0,0.5,0.5,1.0,1.0,1.0,0.775
4,5.0,0.5,0.2,1.0,1.0,1.0,0.715
4,10.0,0.5,0.1,1.0,1.0,1.0,0.695
5,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
5,1.0,0.5,1.0,1.0,1.0,1.0,0.875
5,2.0,0.5,0.5,1.0,1.0,1.0,0.775
5,5.0,0.5,0.2,1.0,1.0,1.0,0.715
5,10.0,0.5,0.1,1.0,1.0,1.0,0.695
6,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
6,1.0,0.5,1.0,1.0,1.0,1.0,0.875
6,2.0,0.5,0.5,1.0,1.0,1.0,0.775
6,5.0,0.5,0.2,1.0,1.0,1.0,0.715
6,10.0,0.5,0.1,1.0,1.0,1.0,0.695
7,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
7,1.0,0.5,1.0,1.0,1.0,1.0,0.875
7,2.0,0.5,0.5,1.0,1.0,1.0,0.775
7,5.0,0.5,0.2,1.0,1.0,1.0,0.715
7,10.0,0.5,0.1,1.0,1.0,1.0,0.695
8,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
8,1.0,0.5,1.0,1.0,1.0,1.0,0.875
8,2.0,0.5,0.5,1.0,1.0,1.0,0.775
8,5.0,0.5,0.2,1.0,1.0,1.0,0.715
8,10.0,0.5,0.1,1.0,1.0,1.0,0.695
9,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
9,1.0,0.5,1.0,1.0,1.0,1.0,0.875
9,2.0,0.5,0.5,1.0,1.0,1.0,0.775
9,5.0,0.5,0.2,1.0,1.0,1.0,0.715
9,10.0,0.5,0.1,1.0,1.0,1.0,0.695
10,0.5,0.5,0.4,1.0,1.0,0.794286,0.724143
10,1.0,0.5,1.0,1.0,1.0,1.0,0.875
10,2.0,0.5,0.5,1.0,1.0,1.0,0.775
10,5.0,0.5,0.2,1.0,1.0,1.0,0.715
10,10.0,0.5,0.1,1.0,1.0,1.0,0.695
