theta,cost_mean,ci_low,ci_high,workload
0.3000,0.500000,0.500000,0.500000,burst
0.3500,0.500000,0.500000,0.500000,burst
0.4000,0.447215,0.427359,0.470000,burst
0.4500,0.407506,0.366851,0.451642,burst
0.5000,0.421165,0.375335,0.468297,burst
0.5500,0.452770,0.417348,0.487508,burst
0.6000,0.457894,0.427062,0.487775,burst
0.6500,0.464654,0.438672,0.488040,burst
0.7000,0.494483,0.484718,0.501953,burst
0.7500,0.500000,0.500000,0.500000,burst
0.8000,0.500000,0.500000,0.500000,burst
0.8500,0.500000,0.500000,0.500000,burst
0.9000,0.500000,0.500000,0.500000,burst
0.9500,0.500000,0.500000,0.500000,burst
0.3000,0.500000,0.500000,0.500000,burst_v2
0.3500,0.500000,0.500000,0.500000,burst_v2
0.4000,0.500000,0.500000,0.500000,burst_v2
0.4500,0.500000,0.500000,0.500000,burst_v2
0.5000,0.500000,0.500000,0.500000,burst_v2
0.5500,0.293750,0.262448,0.325000,burst_v2
0.6000,0.175000,0.145833,0.204167,burst_v2
0.6500,0.194707,0.157867,0.230068,burst_v2
0.7000,0.180124,0.144015,0.214817,burst_v2
0.7500,0.180124,0.144015,0.214817,burst_v2
0.8000,0.180124,0.144015,0.214817,burst_v2
0.8500,0.180124,0.144015,0.214817,burst_v2
0.9000,0.374493,0.321106,0.430293,burst_v2
0.9500,0.334065,0.287997,0.378781,burst_v2
0.3000,0.500000,0.500000,0.500000,burst_v3
0.3500,0.500000,0.500000,0.500000,burst_v3
0.4000,0.500000,0.500000,0.500000,burst_v3
0.4500,0.500000,0.500000,0.500000,burst_v3
0.5000,0.500000,0.500000,0.500000,burst_v3
0.5500,0.068878,0.045918,0.094388,burst_v3
0.6000,0.035714,0.020344,0.056122,burst_v3
0.6500,0.035714,0.020344,0.056122,burst_v3
0.7000,0.035714,0.020344,0.056122,burst_v3
0.7500,0.035714,0.020344,0.056122,burst_v3
0.8000,0.035714,0.020344,0.056122,burst_v3
0.8500,0.035714,0.020344,0.056122,burst_v3
0.9000,0.219584,0.184066,0.252747,burst_v3
0.9500,0.285714,0.250000,0.318750,burst_v3
0.3000,0.500000,0.500000,0.500000,job
0.3500,0.500000,0.500000,0.500000,job
0.4000,0.500000,0.500000,0.500000,job
0.4500,0.500000,0.500000,0.500000,job
0.5000,0.500000,0.500000,0.500000,job
0.5500,0.496753,0.490260,0.500000,job
0.6000,0.466721,0.441558,0.494318,job
0.6500,0.441558,0.395272,0.482955,job
0.7000,0.356331,0.294623,0.415625,job
0.7500,0.380682,0.310836,0.452131,job
0.8000,0.425325,0.369298,0.484578,job
0.8500,0.476461,0.446429,0.503247,job
0.9000,0.500000,0.500000,0.500000,job
0.9500,0.500000,0.500000,0.500000,job
0.3000,0.500000,0.500000,0.500000,job_complexity
0.3500,0.500000,0.500000,0.500000,job_complexity
0.4000,0.500000,0.500000,0.500000,job_complexity
0.4500,0.500000,0.500000,0.500000,job_complexity
0.5000,0.500000,0.500000,0.500000,job_complexity
0.5500,0.500000,0.500000,0.500000,job_complexity
0.6000,0.497722,0.494305,0.500000,job_complexity
0.6500,0.482117,0.470387,0.492716,job_complexity
0.7000,0.430506,0.407042,0.457611,job_complexity
0.7500,0.303927,0.267955,0.339458,job_complexity
0.8000,0.297785,0.263725,0.335030,job_complexity
0.8500,0.424203,0.397677,0.450384,job_complexity
0.9000,0.489529,0.479058,0.497382,job_complexity
0.9500,0.500000,0.500000,0.500000,job_complexity
0.3000,0.500000,0.500000,0.500000,oltp
0.3500,0.500000,0.500000,0.500000,oltp
0.4000,0.470585,0.452275,0.490585,oltp
0.4500,0.396723,0.363829,0.431888,oltp
0.5000,0.306987,0.267503,0.347584,oltp
0.5500,0.317818,0.279429,0.358805,oltp
0.6000,0.415972,0.386009,0.444789,oltp
0.6500,0.429077,0.401198,0.455090,oltp
0.7000,0.452096,0.428144,0.473054,oltp
0.7500,0.500000,0.500000,0.500000,oltp
0.8000,0.500000,0.500000,0.500000,oltp
0.8500,0.500000,0.500000,0.500000,oltp
0.9000,0.500000,0.500000,0.500000,oltp
0.9500,0.500000,0.500000,0.500000,oltp
0.3000,0.500000,0.500000,0.500000,sdss
0.3500,0.497514,0.495400,0.499388,sdss
0.4000,0.488795,0.484532,0.492543,sdss
0.4500,0.468970,0.462595,0.475441,sdss
0.5000,0.393396,0.382564,0.404681,sdss
0.5500,0.322813,0.309458,0.335499,sdss
0.6000,0.270305,0.255628,0.283525,sdss
0.6500,0.268485,0.253449,0.283127,sdss
0.7000,0.301649,0.287307,0.315212,sdss
0.7500,0.333607,0.321135,0.346376,sdss
0.8000,0.378211,0.368738,0.387405,sdss
0.8500,0.421151,0.414125,0.427666,sdss
0.9000,0.468271,0.464009,0.472652,sdss
0.9500,0.494850,0.492877,0.496686,sdss
